iter	Passed	Remaining
0	27	5386
1	43	4336
2	57	3746
3	72	3563
4	84	3305
5	101	3270
6	119	3307
7	138	3325
8	154	3279
9	168	3209
10	182	3129
11	200	3140
12	220	3168
13	242	3218
14	257	3178
15	273	3143
16	285	3077
17	300	3040
18	314	2992
19	328	2953
20	343	2926
21	361	2923
22	382	2942
23	401	2945
24	423	2967
25	441	2953
26	459	2941
27	476	2926
28	493	2909
29	508	2882
30	524	2859
31	539	2833
32	555	2813
33	569	2782
34	585	2758
35	606	2761
36	623	2745
37	639	2724
38	652	2694
39	667	2670
40	682	2645
41	696	2621
42	711	2598
43	727	2580
44	745	2566
45	763	2555
46	789	2569
47	812	2573
48	838	2582
49	857	2573
50	875	2556
51	892	2539
52	908	2518
53	922	2493
54	936	2468
55	954	2453
56	972	2440
57	990	2424
58	1007	2407
59	1023	2387
60	1040	2370
61	1056	2352
62	1069	2325
63	1086	2308
64	1102	2289
65	1123	2280
66	1140	2264
67	1156	2245
68	1175	2231
69	1194	2217
70	1214	2206
71	1237	2200
72	1255	2183
73	1272	2166
74	1287	2146
75	1302	2124
76	1317	2103
77	1333	2086
78	1347	2064
79	1365	2048
80	1386	2037
81	1403	2020
82	1419	2001
83	1435	1982
84	1451	1963
85	1467	1944
86	1481	1924
87	1500	1909
88	1517	1892
89	1525	1864
90	1541	1845
91	1557	1828
92	1572	1809
93	1590	1793
94	1610	1780
95	1632	1768
96	1650	1752
97	1664	1732
98	1679	1713
99	1695	1695
100	1712	1678
101	1724	1657
102	1741	1639
103	1764	1629
104	1784	1614
105	1803	1599
106	1822	1584
107	1843	1570
108	1865	1557
109	1884	1542
110	1902	1525
111	1918	1507
112	1932	1487
113	1949	1470
114	1967	1454
115	1975	1430
116	1991	1412
117	2012	1398
118	2027	1380
119	2042	1361
120	2058	1343
121	2074	1326
122	2089	1308
123	2106	1291
124	2122	1273
125	2145	1259
126	2164	1243
127	2185	1229
128	2203	1212
129	2220	1195
130	2241	1180
131	2261	1164
132	2279	1148
133	2296	1131
134	2313	1114
135	2331	1097
136	2348	1079
137	2369	1064
138	2390	1049
139	2411	1033
140	2430	1016
141	2445	999
142	2463	982
143	2479	964
144	2498	947
145	2515	930
146	2531	912
147	2550	896
148	2566	878
149	2583	861
150	2603	844
151	2629	830
152	2650	814
153	2670	797
154	2689	780
155	2705	763
156	2722	745
157	2737	727
158	2759	711
159	2780	695
160	2801	678
161	2822	662
162	2837	644
163	2851	625
164	2867	608
165	2892	592
166	2910	575
167	2928	557
168	2945	540
169	2962	522
170	2980	505
171	2999	488
172	3020	471
173	3041	454
174	3059	437
175	3073	419
176	3088	401
177	3104	383
178	3121	366
179	3140	348
180	3159	331
181	3180	314
182	3205	297
183	3224	280
184	3243	262
185	3261	245
186	3278	227
187	3296	210
188	3313	192
189	3330	175
190	3345	157
191	3362	140
192	3380	122
193	3402	105
194	3419	87
195	3437	70
196	3454	52
197	3470	35
198	3484	17
199	3502	0
